1,2,3,4,5,6,7,8,9,,,,,,
,,,2011," 1,273,821 ","+133,818    ",+11.74          ," 655,718 "," 618,103 ",,,,,,
,,,,,,,,,,,,,,
21,385,Nayagarh,1901," 331,061 ",                       --- ,                    --- ," 164,828 "," 166,233 ",,,,,,
,,,1911," 337,561 ","+6,500    ",+1.96          ," 166,831 "," 170,730 ",,,,,,
,,,1921," 303,665 ","-33,896 ",-10.04 ," 144,840 "," 158,825 ",,,,,,
,,,1931," 336,493 ","+32,828    ",+10.81          ," 161,896 "," 174,597 ",,,,,,
,,,1941," 363,652 ","+27,159    ",+8.07          ," 174,693 "," 188,959 ",,,,,,
,,,1951," 392,506 ","+28,854    ",+7.93          ," 191,614 "," 200,892 ",,,,,,
,,,1961," 470,878 ","+78,372    ",+19.97          ," 233,001 "," 237,877 ",,,,,,
,,,1971," 578,498 ","+107,620    ",+22.86          ," 290,089 "," 288,409 ",,,,,,
,,,1981," 683,392 ","+104,894    ",+18.13          ," 346,613 "," 336,779 ",,,,,,
,,,1991," 782,647 ","+99,255    ",+14.52          ," 399,701 "," 382,946 ",,,,,,
,,,2001," 864,516 ","+81,869    ",+10.46          ," 446,177 "," 418,339 ",,,,,,
,,,2011," 962,789 ","+98,273    ",+11.37          ," 502,636 "," 460,153 ",,,,,,
,,,,,,,,,,,,,,
21,386,Khordha,1901," 470,409 ",                       --- ,                    --- ," 234,206 "," 236,203 ",,,,,,
,,,1911," 479,645 ","+9,236    ",+1.96          ," 237,052 "," 242,593 ",,,,,,
,,,1921," 431,482 ","-48,163 ",-10.04 ," 205,805 "," 225,677 ",,,,,,
,,,1931," 478,128 ","+46,646    ",+10.81          ," 230,041 "," 248,087 ",,,,,,
,,,1941," 516,719 ","+38,591    ",+8.07          ," 248,224 "," 268,495 ",,,,,,
,,,1951," 557,718 ","+40,999    ",+7.93          ," 272,632 "," 285,086 ",,,,,,
,,,1961," 658,073 ","+100,355    ",+17.99          ," 326,593 "," 331,480 ",,,,,,
,,,1971," 858,554 ","+200,481    ",+30.46          ," 437,060 "," 421,494 ",,,,,,
,,,1981," 1,132,182 ","+273,628    ",+31.87          ," 582,885 "," 549,297 ",,,,,,
,,,1991," 1,502,014 ","+369,832    ",+32.67          ," 789,334 "," 712,680 ",,,,,,
,,,2001," 1,877,395 ","+375,381    ",+24.99          ," 986,886 "," 890,509 ",,,,,,
,,,2011," 2,251,673 ","+374,278    ",+19.94          ," 1,167,137 "," 1,084,536 ",,,,,,
,,,,,,,,,,,,,,
21,387,Puri,1901," 527,283 ",                       --- ,                    --- ," 262,522 "," 264,761 ",,,,,,
,,,1911," 537,636 ","+10,353    ",+1.96          ," 265,713 "," 271,923 ",,,,,,
,,,1921," 483,649 ","-53,987 ",-10.04 ," 230,688 "," 252,961 ",,,,,,
,,,1931," 535,934 ","+52,285    ",+10.81          ," 257,854 "," 278,080 ",,,,,,
,,,1941," 579,192 ","+43,258    ",+8.07          ," 278,236 "," 300,956 ",,,,,,
,,,1951," 625,148 ","+45,956    ",+7.93          ," 312,472 "," 312,676 ",,,,,,
,,,1961," 736,118 ","+110,970    ",+17.75          ," 370,949 "," 365,169 ",,,,,,
,,,1971," 903,807 ","+167,689    ",+22.78          ," 456,689 "," 447,118 ",,,,,,
,,,1981," 1,105,471 ","+201,664    ",+22.31          ," 560,713 "," 544,758 ",,,,,,
,,,1991," 1,305,365 ","+199,894    ",+18.08          ," 662,764 "," 642,601 ",,,,,,
,,,2001," 1,502,682 ","+197,317    ",+15.12          ," 763,389 "," 739,293 ",,,,,,
,,,2011," 1,698,730 ","+196,048    ",+13.05          ," 865,380 "," 833,350 ",,,,,,
,,,,,,,,,,,,,,
21,388,Ganjam,1901," 957,123 ",                       --- ,                    --- ," 451,592 "," 505,531 ",,,,,,
,,,1911," 1,064,172 ","+107,049    ",+11.18          ," 492,889 "," 571,283 ",,,,,,
,,,1921," 1,029,623 ","-34,549 ",-3.25 ," 463,149 "," 566,474 ",,,,,,
,,,1931," 1,165,908 ","+136,285    ",+13.24          ," 532,234 "," 633,674 ",,,,,,
,,,1941," 1,308,056 ","+142,148    ",+12.19          ," 603,031 "," 705,025 ",,,,,,
